State,Code,Seq No,Distributor,Place,"Entire District 
Coverage",Partial District Coverage,Area (Office Name),No Of Coupons,"Coupons
 Issued",Status,
Rajasthan,ABU0000,RAJ01,A.S MARKETING,ABU ROAD,SIROHI ,,,20,,,
Rajasthan,AJR0002,RAJ02,SHREE MAHESH TRADERS,AJMER,"AJMER, NAGAUR , BHILWARA ",,,250,,,
Rajasthan,ALR1200,RAJ03,N.K. HOSIERY,ALWAR,"ALWAR ,DAUSA , BHARATPUR",,,220,,,
Rajasthan,ALR0401,RAJ04,NITIN HOSIERY  LLP,ALWAR,"ALWAR , BHARATPUR , JAIPUR ",,,90,,,
Rajasthan,BDH0001,RAJ05,SHREE KRISHNA HOSIERY & READYMADE,BADHAL,"JAIPUR , SIKAR",,,30,,,
Rajasthan,BLO0200,RAJ06,VINAYAK AGENCY,BALOTRA,BARMER,,,60,,,
Rajasthan,BNW0200,RAJ07,PARSHVANATH HOSIERY,BANSWARA,BANSWARA,,,30,,,
Rajasthan,BRN0000,RAJ08,GULSHAN SALES,BARAN,"BARAN , JHALAWAR",,,80,,,
Rajasthan,BMR0301,RAJ09,KRISHNA SALES,BARMER,"BARMER , JAISALMER",,,150,,,
Rajasthan,BMR0200,RAJ10,RAJASTHAN DISTRIBUTORS,BARMER,BARMER ,,,110,,,
Rajasthan,BAY0000,RAJ11,JINDEL GENERAL STORE ,BAYANA,BHARATPUR ,,,40,,,
Rajasthan,BEA0100,RAJ12,SANDEEP SALES CORPORATION,BEAWAR,"AJMER, BHILWARA , PALI , NAGAUR , RAJSAMAND ",,,160,,,
Rajasthan,BEH0201,RAJ13,JYOTI RANI GIFT & LEATHER SHOP,BEHROR,ALWAR ,,,20,,,
Rajasthan,BTP0100,RAJ14,SINGHAL & COMPANY,BHARATPUR, BHARATPUR ,,,40,,,
Rajasthan,BTP0300,RAJ15,VARSHAS MARKETING,BHARATPUR,BHARATPUR ,,,60,,,
Rajasthan,BHI0000,RAJ16,ANUPAM ENTERPRISES,BHILWARA,"BHILWARA , CHITTORGARH ",,,350,,,
Rajasthan,BHI0601,RAJ17,LAKHANI SALES,BHILWARA,BHILWARA ,,,30,,,
Rajasthan,BIH0003,RAJ18,SHREE NAKODA SALES,BHILWARA,BHILWARA ,,,30,,,
Rajasthan,BWD0100,RAJ19,MANGLA FASHION,BHIWADI,ALWAR ,,,90,,,
Rajasthan,BIK0000,RAJ20,PATWA SALES CORPORATION,BIKANER,"BIKANER , NAGAUR , JODHPUR ",,,650,,,
Rajasthan,BUN0400,RAJ21,KHEM CHAND NANAK RAM,BUNDI, BUNDI ,,,20,,,
Rajasthan,CHA0000,RAJ22,S.K. AGENCY,CHAUMAHALA," JHALAWAR , KOTA",,,80,,,
Rajasthan,CTI0001,RAJ23,BANSAL STORE,CHHOTI SADRI,"PRATAPGARH , CHITTORGARH",,,30,,,
Rajasthan,COR0000,RAJ24,UPADHYAY TEXTILE,CHITTORGARH,CHITTORGARH ,,,100,,,
Rajasthan,CHU0500,RAJ25,PANKAJ TRADING COMPANY ,CHURU,CHURU ,,,20,,,
