DISTRIBUTOR CODE,STATE,SEQ NO,DISTRIBUTOR,PLACE,ENTIRE DISTRICT COVERAGE,PARTIAL DISTRICT COVERAGE,AREA (OFFICE NAME),NO OF COUPONS,COUPONS ISSUED
MUM0202,MAHARASHTRA,mum01,AMIT TRADING COMPANY,NEW MUMBAI,"THANE, RAIGAD(MH),RAIGAD",,,350,
RAD0100,MAHARASHTRA,mum02,DINESH HOSIERY,MAHAD,"RAIGAD(MH),RAIGAD",,,20,
KHP0000,MAHARASHTRA,mum03,SHREE SHYAM AGENCY,KHOPOLI,"RAIGAD(MH),RAIGAD",PUNE,"Ins Shivaji Lonavale S.O, Lonavala Bazar S.O, Lonavala S.O",65,
MUM0300,MAHARASHTRA,mum04,AMIT ENTERPRISES,BHIWANDI,"THANE,PALGHAR",,,75,
ULH0200,MAHARASHTRA,mum05,CHOITHRAM JAGATRAI,ULHASNAGAR,THANE,,,30,
MUM0701,MAHARASHTRA,mum06,DEEPAK HOSIERY,PALGHAR,PALGHAR,,,60,
MUM0700,MAHARASHTRA,mum07,DEEPAK TRADING CO.,VASAI,"MUMBAI, MUMBAI SUBURBAN, THANE, PALGHAR ",,,125,
MUM1202,MAHARASHTRA,mum08,K K HOSIERY PRIVATE LIMITED,THANE,THANE,,,,
MUM1600,MAHARASHTRA,mum09,MEHUL ENTERPRISES,MUMBAI,"MUMBAI,MUMBAI SUBURBAN, THANE, PALGHAR, RAIGAD(MH),RAIGAD",,,165,
ULH0001,MAHARASHTRA,mum10,NAGPAL TRADERS,ULHASNAGAR,"THANE, RAIGAD(MH),RAIGAD",,,20,
BDI0001,MAHARASHTRA,mum11,NARAYAN HOSIERY,BHIWANDI,"THANE, PALGHAR ",,,30,
ULH1300,MAHARASHTRA,mum12,PRIYA TRADERS,ULHASNAGAR,THANE,,,,
MUM2100,MAHARASHTRA,mum13,S.SHANTILAL & CO,MUMBAI,"MUMBAI,MUMBAI SUBURBAN",,,10,
MUM0206,MAHARASHTRA,mum14,SANJAY ENTERPRISE,MUMBAI,"MUMBAI,MUMBAI SUBURBAN, THANE, PALGHAR ",,,155,
MUM8300,MAHARASHTRA,mum15,SAPNA ENTERPRISES,DOMBIVALI,"THANE, RAIGAD(MH),RAIGAD, PALGHAR ",,,110,
MUM2201,MAHARASHTRA,mum16,SHAH PRABHUDAS PHULCHAND,MUMBAI,"MUMBAI,MUMBAI SUBURBAN",,,55,
MUM2300,MAHARASHTRA,mum17,SHEELA ENTERPRISES,MUMBAI,"MUMBAI,MUMBAI SUBURBAN, THANE, PALGHAR ",,,55,
MUM2500,MAHARASHTRA,mum18,SHREE JI ENTERPRISES,MUMBAI,"MUMBAI,MUMBAI SUBURBAN",,,35,
MUM2600,MAHARASHTRA,mum19,SINGHANIA TRADERS,DOMBIVALI,"THANE, PALGHAR ",,,150,
MUM3001,MAHARASHTRA,mum20,VEENA TRADERS PVT.LTD,MUMBAI,"MUMBAI,MUMBAI SUBURBAN",,,85,
TAE0000,MAHARASHTRA,mum21,SAANVI ENTERPRISES,THANE,THANE,,,50,
BOI0000,MAHARASHTRA,mum22,VIKAS AGENCY,BOISAR,PALGHAR ,,,,
