Seq No, Code,Name,Place,Entire District Name,Entire Division,"Partial District Name",Area Name( Post office Branch),State,No Of coupon
ODS01,ANG0500,PRAKASH TEXTILES,ANGUL,ANUGUL,,,"NARSINGHPUR B.O,Narsinghpur Dihasahi B.O",ODISHA,33
ODS02,KHO0300,SHREE KRISHNA ENTERPRISES,BAGHAMARI,KHORDHA,,,,ODISHA,12
ODS03,BSR0000,Z SQUARE TRADERS,BALASORE,BALESHWAR,,,,ODISHA,47
ODS04,BRG0100,MONICA CLOTH STORE,BARGARH,"BARGARH,BOUDH,SONEPUR",,,,ODISHA,7
ODS05,BRI0000,MAA AMBIKA GARMENTS,BARIPADA,MAYURBHANJ,,,Jaleswar Railway Station S.O,ODISHA,54
ODS06,BRK0100,PRAVEEN TEXTILES,BHADRAK,BHADRAK,,,,ODISHA,50
ODS07,BRK0400,UTKAL CLOTH STORE,"BHADRAK,SORO",BHADRAK,,BALESHWAR,"Kuruda soro B.O,Soro Bazar S.O,Soro College S.O,
Soro S.O,Soro RS SO",ODISHA,21
ODS08,BRK0300,BHARUKA ENTERPRISES,"BHADRAK,SORO",BHADRAK,,BALESHWAR,"Kuruda soro B.O,Soro Bazar S.O,Soro College S.O,
Soro S.O,Soro RS SO",ODISHA,
ODS09,BHU0701,S.G.E.WHOLESALE BAZAAR,BHUBANESWAR,"NAYAGARH,KANDHAMAL",Bhubaneswar Division,,,ODISHA,28
ODS10,BHU0800,SOLITAIRE ENTERPRISES,BHUBANESWAR,"NAYAGARH,KANDHAMAL",Bhubaneswar Division,,,ODISHA,12
ODS11,BRK0102,PRAVEEN TRADING COMPANY,BHUBANESWAR,"NAYAGARH,KANDHAMAL",Bhubaneswar Division,,,ODISHA,9
ODS12,BOL0100,AMBIKA GARMENTS,"BOLANGIR,BHAVANI PATNA",BALANGIR,,,,ODISHA,
ODS13,TAR0101,SINGHAL ENTERPRISES,"BOLANGIR,KANTABANJI","BALANGIR,SONEPUR",,,,ODISHA,72
ODS14,CUT0200,PURNIMA TRADERS,CUTTACK,"CUTTACK,JAGATSINGHAPUR,KENDRAPARA",,,,ODISHA,94
ODS15,CUT0600,SANJAY TEXTILE,"CUTTACK,JAJPUR","JAJAPUR,CUTTACK,JAGATSINGHAPUR,KENDRAPARA",,,,ODISHA,100
ODS16,CUT1400,SHREE SALASAR GARMENTS,CUTTACK,"CUTTACK,JAGATSINGHAPUR,KENDRAPARA",,,,ODISHA,32
ODS17,DHE0101,RONIT NAITIK AGENCY,"DHENKANAL,CUTTACK","CUTTACK,DHENKANAL,ANUGUL",,,,ODISHA,45
ODS18,BMP0700,SHRI JAGDAMBA AGENCIES,GANJAM,"GANJAM,GAJAPATI,KANDHAMAL",,,,ODISHA,12
ODS19,JAJ0200,SUBHALAXMI BASTRALAYA,"JAJPUR,KEONJHAR","JAJAPUR,KENDUJHAR",,DHENKANAL,Bhuban S.O,ODISHA,27
ODS20,JEY0000,SINDHUSUTA TRADING CO.,JEYPORE,KORAPUT,,,,ODISHA,25
ODS21,JGD0000,AJAY AGENCY,"JHARSUGUDA,SAMBALPUR","JHARSUGUDA,SAMBALPUR",,,,ODISHA,110
ODS22,KAN0300,MOHAN AGENCIES,"KANTABANJI,BOLANGIR, BHAVANI PATNA,KESINGA","BALANGIR,NUAPADA",,,,ODISHA,59
ODS23,KAN0400,RISHAV TEXTILE,"KANTABANJI,BOLANGIR, BHAVANI PATNA","BALANGIR,NUAPADA",,,,ODISHA,40
ODS24,KEO0700,APARNA SAREE CENTRE,KEONJHAR,KENDUJHAR,,,,ODISHA,21
ODS25,KES0200,SHANTI TEXTILE,"KESINGA,KANTABANJI,BOLANGIR, BHAVANI PATNA","NUAPADA,BALANGIR,KALAHANDI",,RAYAGADA,"Muniguda S.O,Bissamcuttack S.O",ODISHA,79
ODS26,MAG0000,GOSWAMI ENTERPRISES,MALKANGIRI,MALKANGIRI,,,,ODISHA,24
ODS27,NAB0100,OSWAL TRADERS,NABARANGPUR,NABARANGPUR,,,,ODISHA,6
ODS28,PUR0000,SANTOSHI TEXTILES (P) LTD,PURI,"KHORDHA,NAYAGARH,PURI",,,,ODISHA,74
ODS29,RYA0200,BHARAT TRADERS,RAYAGADA,"GAJAPATI,RAYAGADA",,,,ODISHA,23
ODS30,ROU0300,GOPAL AGENCIES,ROURKELA,"DEOGARH,SUNDARGARH",,,,ODISHA,63
ODS31,ROU0700,AMIT TEXTILE,ROURKELA,"DEOGARH,SUNDARGARH",,,,ODISHA,105
ODS32,SBA0000,JAGADAMBA TRADERS,SAMBALPUR,"BOUDH,DEOGARH,SAMBALPUR",,,,ODISHA,35
ODS33,SBA0400,MOHAMMAD WASIM,SAMBALPUR,"BOUDH,DEOGARH,SAMBALPUR",,,,ODISHA,12
ODS34,SBA0700,TULSI FABRICON,SAMBALPUR,"BOUDH,DEOGARH,SAMBALPUR",,,,ODISHA,11
ODS35,UMR0000,HUNNY GARMENTS,"UMERKOTE,NABARANGPUR",NABARANGPUR,,,,ODISHA,7
