OfficeName,Pincode
Peddakotla B.O,515631
Pinnadhari B.O,515631
Yerraguntapalle B.O,515631
Obulareddipalli B.O,515581
Odulapalli B.O,515581
Peddannavaripalli B.O,515581
Velichelamala B.O,515581
Gurrambailu B.O,515571
Marrimakulapalle B.O,515631
Modugulakunta B.O,515631
Kovvurivandlapalle B.O,515581
Nuthanakalva B.O,515581
Somalavandlapalle B.O,515581
Vepamanipeta B.O,515581
Ethodu B.O,515571
Pedaballi B.O,515571
Vankapalle B.O,515571
Hallikera Devarahalli B.O,515311
Inagalur B.O,515311
Kodihalli B.O,515311
Tammadehalli B.O,515281
Bussaiahgaripalli B.O,515241
Haludi B.O,515311
Madhudi B.O,515311
Narasambudi B.O,515311
P.Byadagere B.O,515311
Ragalinganahalli B.O,515311
Agraharam B.O,515281
Aladahalli B.O,515281
Chitnaduku B.O,515281
Halkur B.O,515281
Budidagaddapalli B.O,515241
Kavuluru BO,534176
Kathrang BO,813105
Mohiuddivpur BO,813105
Sanjha BO,813105
Singhnan BO,813105
Kasri BO,813203
Mahesh Munda BO,813203
Sangitbaita BO,813203
Akidatpur BO,853202
Lokmanpur BO,853202
Raghopur BO,853202
Tulsipur Jamunia BO,853202
Barani BO,813222
Nandlalpur BO,813222
Baluachak BO,812005
Khutaha BO,812005
Sahjatpur BO,812005
Bharakhand Naybas BO,853203
Nagarpara BO,853203
Raipur BO,853203
Sathishnagar BO,853203
Dariapur BO,812006
Haridaspur BO,812006
Sajour BO,812006
Bhowadeorhi BO,853204
Dharahara BO,853204
Dimaha BO,853204
Khairpurkadwa BO,853204
Latra BO,853204
Madrauni BO,853204
Mohanpur BO,853204
Pakra B.O,853204
Sahuparbatta BO,853204
Amapali BO,813209
Mohanpur Govinpur BO,813209
Rifatpur BO,813209
Palavalasa B.O,530052
Sreedharghatta B.O,515871
N.Thimmapuram B.O,515842
Poliki B.O,515842
Dosaludiki B.O,515803
Kottala B.O,515803
Ayyavaripalli B.O,515775
Chinnavadugur B.O,515405
Muradi B.O,515865
Obulapuram B.O,515865
Pallepalli B.O,515865
Appecharla B.O,515455
Chandana B.O,515455
Lakshumpalli B.O,515455
Chittur B.O,515611
Illuru B.O,515611
Kallumadi B.O,515611
Avuladatla B.O,515867
B.N.Halli B.O,515867
Belodu B.O,515867
Rayampalli B.O,515812
Renimakulapalli B.O,515812
Shaikshanipalli B.O,515812
Undabanda B.O,515812
Gadehothur B.O,515832
Kamalapadu B.O,515832
Bollanaguddem B.O,515870
Ramavaram B.O,531173
Bhandevupuram B.O,531219
Singanahalli B.O,515871
Uddihal B.O,515871
Kadadarabenchi B.O,515842
Salempurtola BO,813209
Srinagar BO,813209
Suktia BO,853205
Tintangadiara BO,853205
Bahadurpur BO,813210
Chakdaria BO,813210
Machipur BO,813210
Pharka BO,813210
Shaukarpur BO,813210
Bakchappar BO,813108
Kapsona BO,813108
Kodanda BO,813108
Logain BO,813108
Dumaria BO,813212
Harchandi BO,813105
Bhawanipur BO,813203
Bhawanpura BO,853202
Ishapur Chorhar BO,853202
Jamunia BO,853202
Kaluchak Bispuria BO,853202
Ekdara BO,813222
Kishandaspur BO,813222
Laskari BO,813105
Nawada bazar BO,813105
Rauka BO,813105
Rupsa BO,813105
Saino BO,813105
Patharghatta BO,813203
Shobhnathpur BO,813203
Laxmipur BO,813222
Ranidiara BO,813222
Puraini BO,812005
Bharatkhand dyorhi BO,853203
Chakrami BO,853203
Khajraitha BO,853203
Madhurapur BO,853203
Budilisettipalli B.O,515241
Polepalli B.O,515101
Arsapalli B.O,503186
Camp Ootpalli B.O,503180
Eraspalli B.O,503180
Singitham B.O,503187
Mahmadpur B.O,503101
Malkapur B.O,503125
Tujlapur B.O,503125
Yadaram B.O,503125
Ugrawai B.O,503112
Yellappagonda B.O,503112
Akal B.O,344704
Daukiyon ka Tala B.O,344032
NDC Jodhpur,342002
Pandarwali B.O,344706
PALVANCHA B.O,503112
Polkampet B.O,503124
Pothiapalli B.O,503124
Dongli B.O,503309
Tandur B.O,503108
Hasanpalli B.O,503302
Vaddepalli B.O,503302
JALALPUR B.O,503201
Thirumalapur B.O,503187
Bhagirathipalli B.O,503101
Rameshwarpalli B.O,503101
Issanagar B.O,503125
Hasgal B.O,503306
Amberipet B.O,503123
Lingupalli B.O,503102
Kyasampalli  B.O,503112
Machareddy B.O,503112
Tekriyal B.O,503112
Gundekallur B.O,503309
Pincha Dam Site B.O,516129
Jyothi B.O,516237
P. Kothapalli B.O,516237
Vontithatipalli B.O,516237
Gundlapalli B.O,516130
Kanchipativandlapalli B.O,516130
Peddabalija Palli B.O,516130
Peddapalli B.O,516130
Thimmasamudram B.O,516130
Pothapi B.O,516151
SWAI SINGH WALA B.O,147111
BINJAL B.O,147111
Gharmura Bazar B.O,788162
Gharmura Bus Stand B.O,788162
Algapur PT V B.O,788150
Chandipur B.O,788150
Matirgram B.O,788150
Narainpur North B.O,788801
Polarpar B.O,788801
Alexanderpur B.O,788161
Appin B.O,788161
Dholai Malai B.O,788161
Dholai South B.O,788161
Ratakandi B.O,788152
Uzankupa B.O,788152
Narainpur B.O,788152
Boalipar Bazar B.O,788155
Brojapur B.O,788155
Lakhirbond PT II B.O,788155
Paikan B.O,788155
NDC Kanpur,208001
Mohanpur B.O,788150
Burnibrease T E B.O,788801
Jankibazar B.O,788801
Dinanathpur PT I B.O,788161
Akbarnagar BO,812006
Bhatoria BO,812006
Chaknarayanpur BO,812006
Chandrabhanpur BO,812006
Khaira BO,812006
Kishandaspur amkhoria BO,812006
Abhiya bazarBO,853204
Arajpur BO,853204
Baisi jahangira BO,853204
Bhatgama BO,853204
Gosaigaov BO,853204
Jagatpur BO,853204
Kadwadiara BO,853204
KHAGRA,853204
Makhatakia BO,853204
Maniamore BO,853204
NAGRAH BO,853204
Bakharpur BO,813209
Barmasia BO,813209
Duldulia BO,813209
Kaliprasad BO,813209
Khawaspur MILKI BO,813209
Moultola BO,813209
Narayanpur BO,813209
Parshurampur BO,813209
Pirpainti Bazar BO,813209
Raghunitola BO,853205
Mamallkha BO,813210
Parghari BO,813210
Pithna BO,813210
Kiranpur BO,813108
Kushmaha BO,813108
Laxmipur Chiraya BO,813108
Panchrukhi Bazar BO,813108
Rataupur Maikpur BO,813108
Mogha B.O,503309
KODCHERA B.O,503309
Chinnur B.O,503108
Pocharam B.O,503108
Shetpalli B.O,503108
Mallur B.O,503302
Kodapkal Kalan B.O,503310
Kodapkal Khurd B.O,503310
Kotaipalli B.O,503310
Thimmanagar B.O,503310
Annaramkalan B.O,503310
Gundaram B.O,503110
Kondapur B.O,503110
Kalwaral B.O,503145
Bhoompalli B.O,503145
Kupriyal B.O,503145
Endriyal B.O,503120
Boregaon B.O,503235
Hangarga B.O,503235
Kandagaon B.O,503235
Neela B.O,503235
Kistapur B.O,503321
Sangam B.O,503185
Hansa B.O,503185
Jadijamalpur B.O,503185
Mavandikalan B.O,503185
Bardipur B.O,503230
Mahabub Farm B.O,503202
Mangalpahad B.O,503202
Ashok Farm B.O,503246
Chikli B.O,503246
Gandhinagar B.O,503246
Kolas  B.O,503305
Shantapur B.O,503305
Nelagonda B.O,515842
Kasapuram B.O,515803
NDC Gorakhpur,273001
Gollapalli B.O,505186
Ithrajpalle B.O,505186
Bonthakuntapalli B.O,505186
Gangaram B.O,505153
Keshanpalli B.O,505153
Moolasala B.O,505162
Regadi Maddikunta B.O,505162
Madaka B.O,505152
Gumpula B.O,505152
Odela B.O,505152
Kukkalagudur B.O,505514
Mudrial B.O,505514
Murmur B.O,505514
Dongathurthi B.O,505187
Kannal B.O,505187
Palakurthy B.O,505187
Lakkaram B.O,505212
Maidambanda B.O,505212
Kothur B.O,505525
Sivapalli B.O,505525
Venkatraopalli B.O,505525
Sundilla B.O,505209
Jangaon B.O,505209
Maredpak B.O,505209
Julapalli B.O,505188
Rangapuram B.O,505188
Mukdampur B.O,505186
Mallial B.O,505122
Kanikulagidda B.O,505498
Yellabotharam B.O,505498
Sirsapalli B.O,505498
Katlacherra Bazar B.O,788161
Telkatta B.O,788161
VIKRAMASIMHAPURI UNIVERSITY SO,524324
Yadgarpalli B.O,501301
Korremal B.O,500088
Pratapsingaram B.O,500088
Pochampally B.O,500100
CMR College  B.O,501401
Porur B.O,501102
Aliabad B.O,500101
Anantaram B.O,500101
BITS B.O,500078
Toolkalan B.O,501509
Ankireddipalli B.O,501301
Thimmaipalli B.O,501301
Venkatadri B.O,500088
Dindigul B.O,500043
Srirangavaram B.O,500043
Jawahar Nagar B.O,500087
Athveli B.O,501401
Rajbolaram B.O,501401
Bomraspet B.O,500078
Jaggamguda B.O,500101
Mudchintanapalli B.O,500101
Munaganur S.O,501505
Bogaram B.O,501301
Cherlapalli B.O,501301
Edulabad B.O,501301
Keesara B.O,501301
Keesaragutta B.O,501301
Katchavanisingaram B.O,500088
Bahadurpalli B.O,500043
Gajularamaram B.O,500055
Sahjadpur BO,813108
Samastipur BO,813108
RANGA BO,813207
PARMANANDPUR ITWA,813207
Pair BO,813110
Raugaon BO,813110
Chandadih BO,813109
Manjhoni BO,813109
Shreepathas BO,813109
Vijayhat BO,813109
Morma BO,813107
Ranjodha BO,813107
Belarimilki BO,813211
Chutia BO,813211
Kaitha BO,813211
Kumarpur BO,813211
Chittapuram B.O,522658
Udjerla B.O,522658
Mellavagu B.O,522614
Petasannegandla B.O,522614
Voppicherla B.O,522614
Ayyannapalem B.O,522614
Lagma BO,813222
Rampur BO,813222
Danda Bazar BO,812005
Kajraili BO,812005
Khiribandha BO,812005
Harnathpur BO,812006
Pratapnager BO,853204
Rangra BO,853204
Sadhwa BO,853204
Tetripakra BO,853204
Sarkanda BO,813209
Srimatpur BO,813209
Jotgobind BO,853205
Kamlakund BO,853205
Kerawa B.O,344011
Paldi Khichiyan,342304
Smalsar S.O,142049
Jillapalli B.O,503207
Pothangal B.O,503207
Papraur BO,851210
Maheswara BO,851127
Muzaffara BO,851127
Gollavanitippa B.O,534239
Losari gutlapadu B.O,534239
Tokatippa B.O,534239
Doddanapudi B.O,534237
Kallakuru B.O,534237
Kolanapalli B.O,534237
Panjavemavaram B.O,534247
Tokalapudi B.O,534247
Toleru B.O,534247
Annavaram B.O,534202
Gollalakoderu B.O,534202
Taderu B.O,534202
Dusanapudi B.O,534243
Perkipalem B.O,534243
Nandamurugaruvu B.O,534243
Kalisipudi B.O,534199
