CODE,"ENTIRE DISTRICT COVERAGE"
LUD0000,"LUDHIANA, MOGA, FATEHGARH SAHIB"
LUD0100,"LUDHIANA, MOGA, NAWANSHAHR"
LUD0300,"LUDHIANA, MOGA, NAWANSHAHR"
LUD3200,"LUDHIANA, MOGA, NAWANSHAHR"
LUD0202,"LUDHIANA, MOGA, NAWANSHAHR"
JAL0801,"JALANDHAR,
KAPURTHALA"
KHA0001,"JALANDHAR,
KAPURTHALA"
JAL0000,"JALANDHAR,
KAPURTHALA"
JAL0100,"JALANDHAR,
KAPURTHALA"
JAL0300,"JALANDHAR,
KAPURTHALA"
AMT0000,"AMRITSAR,  
TARN TARAN, GURUDASPUR, 
PATHANKOT"
ZIR0000,FIROZPUR
FTY0200,FIROZPUR DISTRICT
FAZ0000,"FAZILKA, MUKTSAR"
FOT0000,FARIDKOT
KAP0000,"MOGA, FARIDKOT"
BTD0400,"BHATINDA, MANSA"
GID0000,MUKTSAR
DRI0001,SANGRUR
DRI0100,"BARNALA,BHAWANIGARH,
NABHA,SUNAM, SANGRUR, DANAULA"
PTA0001,PATIALA
PTA0000,PATIALA
RTO0201,PATIALA
MRI0000,"ROPAR, RUPNAGAR"
ROP0000,"ROPAR, RUPNAGAR"
NAN0000,"ROPAR, RUPNAGAR"
HYA0001,HOSHIARPUR
KHN0100,LUDHIANA
PKT0000,PATHANKOT
PKT0100,PATHANKOT
CGH1200,"CHANDIGARH, MOHALI"
CGH0300,"CHANDIGARH, MOHALI"
CGH1100,"CHANDIGARH, MOHALI"
MOH0000,"CHANDIGARH, MOHALI"
