CODE,AREA (OFFICE NAME)
PLW0000,"Banswa BO,Bhandoli BO,Bhiduki BO,Gulawad BO, Hassanpur SO,Likhi BO, Tappa Bilochpur BO, Amarpur BO,Atali BO,Ballabgarh SO,Baroli BO,Chawla Colony Ballabgarh SO,Chhainsa BO, Dayalpur BO, Deeg BO,Dhauj BO,Faridabad Sector 3 SO, Fatehpur Billoch BO,Fatehpur Tagga BO, Gadpuri BO,Gonchhi BO,Jawan BO,Machhgar BO, Mohna BO, Neemka BO,NTPCsector10 Faridabad SO, Pali BO, Panhera Khurd BO, Sagarpur BO, Seekri BO"
FAR0000,"Hodal SO"
MEW0100,"Ali Meo BO,Andhop BO,Banchari BO,Chhainsa BO,Gehlab BO,Gharrot BO,Gorota BO,Hathin SO,Hodal SO,Hurithal BO,Khaika BO,Khambi BO,Kondal BO,Kot BO,Lohina BO,Madnaka BO,Malai BO,Mandkola BO,Marraoli BO,Rupraka BO,Sondh BO,Uttawar BO,Akera BO,Akhera BO,Baded BO,Badli BO,Badshahpur SO,Baghanki BO,Bhadas BO,Bhatsana BO,Bichhor BO,Bisru BO,Budarpur BO,Chharoda BO,Dharuhera SO,Dulawat BO,Dungerwas BO,Fazilpur BO,Ferozepur Namak BO,Goyla BO,Gulalta BO,Hasanpur BO,Industrial Area Dharuhera SO,Jamalgarh BO,Jaurasi BO,Jhamuwas BO,Kadarpur BO,Kalwari BO,Khanpur Ghati BO,Kharkhara BO,Kurthala BO,Lohinga Kalan BO,Maheshwari BO,Malab BO,Mandikhera BO,Masani BO,Mini Sectt NUH SO,Mohamadpur Ahir BO,Moolthan BO,Nagina SO Gurgaon,Naheda BO,Nai BO,Nand Rampurbass BO,Nuh SO,Paltra BO,Pingwan BO,Punhana SO,Raliawas BO,Rathiwas BO,Rethath BO,Sakras BO,Shahchokha BO,Sihri Singhalheri BO,Sikrawa BO,Singar BO,Sudaka BO,Sundh BO,Tain BO,Tapkan BO,Tauru SO,Teekli BO,Ujina BO,Umra BO"
MEW0000,"Agon BO,Akera BO,Akhera BO,Baded BO,Badli BO,Badshahpur SO,Baghanki BO,Bewan BO,Bhadas BO,Bhatsana BO,Bhondsi SO,Bichhor BO,Bisru BO,Budarpur BO,Chharoda BO,Damdama BO,Dharuhera SO,Doha BO,Dulawat BO,Dungerwas BO,Fazilpur BO,Ferozepur Jhirka SO,Ferozepur Namak BO,Ghamroj BO,Goyla BO,Gulalta BO,Hasanpur BO,Hirwari BO,Industrial Area Dharuhera SO,Jamalgarh BO,Jaurasi BO,Jhamuwas BO,Kadarpur BO,Kalwari BO,Khanpur Ghati BO,Kharkhara BO,Kherla BO,Kurthala BO,Lohinga Kalan BO,Maheshwari BO,Malab BO,Mandikhera BO,Maruthi Kunj BO,Masani BO,Mini Sectt NUH SO,Mohamadpur Ahir BO,Moolthan BO,Nagina SO Gurgaon,Naheda BO,Nai BO,Nand Rampurbass BO,Nuh SO,Paltra BO,Pingwan BO,Punhana SO,Raisina BO,Raliawas BO,Rathiwas BO,Rawli BO,Rethath BO,Rithoj BO,Sakras BO,Shahchokha BO,Sihri Singhalheri BO,Sikrawa BO,Singar BO,Sudaka BO,Sundh BO,Tain BO,Tapkan BO,Tauru SO,Teekli BO,Ujina BO,Umra BO"
NUL0000,
PPT0100,
PPT0200,
KRA0001,"Ahar B.O,Arjheri B.O,Bairsal B.O,Bandh B.O,Bhadson B.O,Bhaini Khrud B.O,Buana Lakhu B.O,Israna S.O,Jondhan Kalan B.O,Kachwa B.O,Karad B.O,Karna Lake B.O,Kurana B.O,Kuruk Jagir B.O,Mandi B.O,Nariana B.O,Nilokheri GIP S.O,Nilokheri S.O,Padhana B.O,Pardhana B.O,Puther B.O,Ramana Ramani B.O,Ramba B.O,Sagga B.O,Samana Bahu B.O,Sambhi B.O,Sandhir B.O,Saunkra B.O,Seenk B.O,Shahpur B.O,Shamgarh B.O,Sidhpur B.O,Sikri B.O,Sultanpur B.O,Taraori S.O,Taroari Mandi S.O,Uchana B.O,Udana B.O,Urlana Kalan B.O"
KAA0000,"Bakali B.O,Ban B.O,Bapdi B.O,Barout B.O,Brahan BO,Gajlana B.O,Gudha B.O,Kalirano B.O,Kheri Dabdallan B.O,Ladwa S.O,Lohara B.O,Ngm Ladwa S.O,Niwarsi B.O,Prahladpur B.O"
AMA0800,"C.R.P.F. Pinjore S.O,Chiken B.O,H.M.T.Pinjore S.O,Kalka R.S. S.O,Kalka S.O,Kharanwali B.O,Khetpurali B.O,Mallah B.O,Manak Tabra B.O,Nanakpur B.O,Pinjore S.O,Raipur Rani S.O"
AMA0000,"Alhar B.O,Bakana B.O,Balachaur B.O,Banidi B.O,Bapa B.O,Barsan B.O,Basatianwala B.O,Bhagu Majra B.O,Bhudkalan S.O,Bilaspur (Yamunanagar) S.O,Bilauli B.O,Bubka B.O,Cagnoli B.O,Chamrori B.O,Chauli B.O,Chhachrauli S.O,Darpur B.O,Dayalgarh B.O,Ghillaur B.O,Gumthala Rao B.O,Hartan B.O,Haveli B.O,Jathlana B.O,Jubbal B.O,Kalesar B.O,Khurdban B.O,Kopal Mochan B.O,Kot Kalsia B.O,Laharpur B.O,Lalheri Kalan B.O,Ledi B.O,Machrauli B.O,Malikpur Khadar B.O,Mandhar B.O,Manglore B.O,Marwa Kalan B.O,Marwa Khurd B.O,Mehmoodpur B.O,Milakpur Banger B.O,Mughalwali B.O,Nachron B.O,Noshera B.O,Pipli Majra B.O,Pipliwala B.O,Radaur S.O,Rasulpur B.O,Sadhaura S.O,Sadiqpur B.O,Safilpur B.O,Salehpur B.O,Salimpur Banger B.O,Silikalan B.O,Taharpurkalan B.O,Tajewala B.O,Topra Kalan B.O,Bakali B.O,Ban B.O,Bapdi B.O,Barout B.O,Brahan BO,Gajlana B.O,Gudha B.O,Kalirano B.O,Kheri Dabdallan B.O,Ladwa S.O,Lohara B.O,Ngm Ladwa S.O,Niwarsi B.O,Prahladpur B.O"
YAM0000,"Bakali B.O,Ban B.O,Bapdi B.O,Barout B.O,Brahan BO,Gajlana B.O,Gudha B.O,Kalirano B.O,Kheri Dabdallan B.O,Ladwa S.O,Lohara B.O,Ngm Ladwa S.O,Niwarsi B.O,Prahladpur B.O"
YAM0200,"Bakali B.O,Ban B.O,Bapdi B.O,Barout B.O,Brahan BO,Gajlana B.O,Gudha B.O,Kalirano B.O,Kheri Dabdallan B.O,Ladwa S.O,Lohara B.O,Ngm Ladwa S.O,Niwarsi B.O,Prahladpur B.O"
SON0200,
BAH0000,"Qutub Vihar SO,Akbarpur BO,Bayal BO,Bhungerka BO,Budhwal BO,Dholera BO,Golwa BO,Nagal Nunia BO,Nangal Chaudhry SO,Nangal Dargu BO,Niamatpur BO,Sareli BO,Sirohi Behali BO,Thanwas BO,Atail BO,Bhaproda BO,Bhasro Kalan BO,Bus Stand,Chuliyana BO,Dehkora BO,DLF Colony Rohtak SO,Gandhi Camp SO,Gandhra BO,Garhi BO,Gijhi BO,Gohana Road SO Rohtak,Hissar Road Rohtak SO,Ismaila BO,Janta Colony Rohtak SO,Jhajjar Road Rohtak SO,Kharhar BO,Kultana BO,Loharheri BO,Matan BO,MD University Rohtak SO,Medical College SO Rohtak,Model Town SO Rohtak,Naya Bans BO,Nonaud BO,Rohtak HO,Rohtak Sector I SO,Rohtak Town SO,Sampla SO,Shivaji Colony SO,Barona BO,Bidhlan BO,GKMatindu BO,Gopalpur BO,Khanda BO,Kharkhauda SO,Kundal BO,Pehladpur Kiroli BO,Pipli BO,Rohna BO,Saidpur BO,Sehri BO,Sohti BO,Thanakalan BO"
