CODE,ENTIRE DISTRICT COVERAGE
MUM0202,"THANE, RAIGARH(MH),RAIGARH"
RAD0100,"RAIGARH(MH),RAIGARH"
KHP0000,"RAIGARH(MH),RAIGARH"
MUM0300,"THANE,PALGHAR"
ULH0200,THANE
MUM0701,PALGHAR
MUM0700,"MUMBAI, MUMBAI SUBUEBAN, THANE, PALGHAR"
MUM1202,THANE
MUM1600,"MUMBAI,MUMBAI SUBUEBAN, THANE, PALGHAR, RAIGARH(MH),RAIGARH"
ULH0001,"THANE, RAIGARH(MH),RAIGARH"
BDI0001,"THANE, PALGHAR"
ULH1300,THANE
MUM2100,"MUMBAI,MUMBAI SUBUEBAN"
MUM0206,"MUMBAI,MUMBAI SUBUEBAN, THANE, PALGHAR"
MUM8300,"THANE, RAIGARH(MH),RAIGARH, PALGHAR"
MUM2201,"MUMBAI,MUMBAI SUBUEBAN"
MUM2300,"MUMBAI,MUMBAI SUBUEBAN, THANE, PALGHAR"
MUM2500,"MUMBAI,MUMBAI SUBUEBAN"
MUM2600,"THANE, PALGHAR"
MUM3001,"MUMBAI,MUMBAI SUBUEBAN"
TAE0000,THANE
BOI0000,PALGHAR
