CODE,AREA (OFFICE NAME)
LUD0100,"Apra SO ,Birbansian BO ,Chachrari BO ,Dhesian Sangh BO ,Ganna Pind BO ,Gohawar BO ,Goraya SO ,Haripur Khalsa BO ,Industrial Area Phillaur SO ,Kadiana BO ,Khaira BO ,Mahal BO ,Mandi BO ,Massani BO ,Mothada Kalan BO ,Mothada Khurd BO ,Nagar BO ,P T S Phillaur SO ,Paddi Jagir BO ,Phillaur SO ,Rurka Khurd BO ,Sargundi BO ,Tehang BO ,Banga Road Phagwara SO ,Bazar Sarafan Phagwara SO ,Bhallowal BO ,Bhandal Himmat BO ,Chuheki BO ,Gumtala BO ,Gumtali BO ,Kandola Kalan BO ,Kot Badal Khan BO ,Mehli Gate Phagwara SO ,Nurmahal SO ,Phagwara HO ,Ramewal BO ,Saidowal BO ,Shadipur BO ,Talwan BO ,THAPAR COLONY PHAGWARA SO ,Umarpur Kalan BO ,Uppal Bhupa BO ,Uppal Jagir BO"
LUD0300,"Apra SO ,Birbansian BO ,Chachrari BO ,Dhesian Sangh BO ,Ganna Pind BO ,Gohawar BO ,Goraya SO ,Haripur Khalsa BO ,Industrial Area Phillaur SO ,Kadiana BO ,Khaira BO ,Mahal BO ,Mandi BO ,Massani BO ,Mothada Kalan BO ,Mothada Khurd BO ,Nagar BO ,P T S Phillaur SO ,Paddi Jagir BO ,Phillaur SO ,Rurka Khurd BO ,Sargundi BO ,Tehang BO ,Banga Road Phagwara SO ,Bazar Sarafan Phagwara SO ,Bhallowal BO ,Bhandal Himmat BO ,Chuheki BO ,Gumtala BO ,Gumtali BO ,Kandola Kalan BO ,Kot Badal Khan BO ,Mehli Gate Phagwara SO ,Nurmahal SO ,Phagwara HO ,Ramewal BO ,Saidowal BO ,Shadipur BO ,Talwan BO ,THAPAR COLONY PHAGWARA SO ,Umarpur Kalan BO ,Uppal Bhupa BO ,Uppal Jagir BO"
LUD3200,"Apra SO ,Birbansian BO ,Chachrari BO ,Dhesian Sangh BO ,Ganna Pind BO ,Gohawar BO ,Goraya SO ,Haripur Khalsa BO ,Industrial Area Phillaur SO ,Kadiana BO ,Khaira BO ,Mahal BO ,Mandi BO ,Massani BO ,Mothada Kalan BO ,Mothada Khurd BO ,Nagar BO ,P T S Phillaur SO ,Paddi Jagir BO ,Phillaur SO ,Rurka Khurd BO ,Sargundi BO ,Tehang BO ,Banga Road Phagwara SO ,Bazar Sarafan Phagwara SO ,Bhallowal BO ,Bhandal Himmat BO ,Chuheki BO ,Gumtala BO ,Gumtali BO ,Kandola Kalan BO ,Kot Badal Khan BO ,Mehli Gate Phagwara SO ,Nurmahal SO ,Phagwara HO ,Ramewal BO ,Saidowal BO ,Shadipur BO ,Talwan BO ,THAPAR COLONY PHAGWARA SO ,Umarpur Kalan BO ,Uppal Bhupa BO ,Uppal Jagir BO"
LUD0202,"Apra SO ,Birbansian BO ,Chachrari BO ,Dhesian Sangh BO ,Ganna Pind BO ,Gohawar BO ,Goraya SO ,Haripur Khalsa BO ,Industrial Area Phillaur SO ,Kadiana BO ,Khaira BO ,Mahal BO ,Mandi BO ,Massani BO ,Mothada Kalan BO ,Mothada Khurd BO ,Nagar BO ,P T S Phillaur SO ,Paddi Jagir BO ,Phillaur SO ,Rurka Khurd BO ,Sargundi BO ,Tehang BO ,Banga Road Phagwara SO ,Bazar Sarafan Phagwara SO ,Bhallowal BO ,Bhandal Himmat BO ,Chuheki BO ,Gumtala BO ,Gumtali BO ,Kandola Kalan BO ,Kot Badal Khan BO ,Mehli Gate Phagwara SO ,Nurmahal SO ,Phagwara HO ,Ramewal BO ,Saidowal BO ,Shadipur BO ,Talwan BO ,THAPAR COLONY PHAGWARA SO ,Umarpur Kalan BO ,Uppal Bhupa BO ,Uppal Jagir BO"
JAL0801,Dasuya HO
KHA0001,Dasuya HO
AMT0000,"Ahmedpur BO,Aujla Jogi BO,Baler Khanpur BO,Dhapai BO,Ibban BO,Khaira Majha BO,Khanowal BO,Mansoorwal BO,Nathu Chahal BO,PTU Campus Kapurthala SO,Wadala Kalan BO"
ZIR0000,"Bahmniwala BO,Barwala BO,Bhagupura BO,Bhangala BO,Bhatte Bhaini BO,Bhoprai BO,Dhariwal BO,Dubli BO,Gharyala BO,Kot Budha BO,Mahaneke Jandh BO,Patti SO Tarn Taran,Sabhra BO,Saidpur BO,Shaheed BO,Takarpura BO,Valtoha BO,Varnala BO,Butter SO,Mallianwala BO,Ramuwala Harchoke BO,Ramuwala Kalan BO,Ramuwala Nawan BO,Aminwala BO,Datewala BO,Dharamkot SO,Dholewala BO,Fateh Garh Panjtoor BO,Fatehgarh Korotana BO,Gargrah BO,Ghaloti BO,Jalalabad East BO,Janer BO,Kamaal Ke BO,Karyal BO,Kot Ise Khan SO,Kot Sadar Khan BO,Lohara BO,Lohgarh BO,Mandar Kalan BO,Nurpur Hakkiman BO,Pandori Arian BO,Qadarwala BO,Shah Abu Bakkar BO,Sherpur Tiaba BO,Bahamanian BO,Bajwa Kalan BO,Killi BO,Kotli Gujjran BO,Lassuri BO,Mianwal Arrayan BO,Mianwal BO,Mullewal Khera BO,Poonian BO,Shahkot SO,Sindher BO,Talwandi Buttian BO"
FAZ0000,"Didarewala BO,Dina BO,Khai BO,Khote BO,Patto Hira Singh SO,Ahmad Dhandi BO,Aminwala BO,Chak Mahantan Wala BO,Chhanga Khurd BO,Chhanga Rai Uttar BO,Dharamkot SO,Dholewala BO,Fatehgarh Korotana BO,Guddar Dhandi BO,Guruharsahai SO,Hazara Singh Wala BO,Jalalabad East BO,Jandwala BO,Jhariwala BO,Kaila BO,Kamaal Ke BO,Karma BO,Karyal BO,Khunder Uttar BO,Kot Sadar Khan BO,Lakho Ke Behram BO,Lohgarh BO,Mamdot SO,Nurpur Hakkiman BO,Pandori Arian BO,Pindi BO,Ranjitgarh BO,Sharienwala BO,Sherpur Tiaba BO,Sohangarh Thakkran BO,Tibbi Khurd BO"
FOT0000,"Ahmad Dhandi BO,Amir Khas BO,Bagge Ke Uttar BO,Bahamni Wala BO,Bsf Campus Chak Araian BO,Chak Gulam Rasool Wala BO,Chak Mahantan Wala BO,Chak Saidoke BO,Chhanga Rai Uttar BO,Dhandi Qadim BO,Dhanna Shahid BO,Gill BO,Guddar Dhandi BO,Guruharsahai SO,Haraj BO,Jalalabad T SO,Jalalabad W SO,Jandwala BO,Jhariwala BO,Jiwan Araian BO,Kabbar Wacha BO,Kassoana BO,Kot Karor Kalan BO,Ladhuwala Uttar BO,Lalle BO,Loham BO,Mudki SO,Pakka Kale Wala BO,Pandori Khatrian BO,Panje Ke Uttar BO,Pindi BO,Ranjitgarh BO,Sekhwan BO,Sharienwala BO,Sodhiwala BO,Sohangarh Thakkran BO,Sulhani BO,Talwandi Bhai SO,Tumber Bhan BO,Wara Waryam Singh BO"
BTD0400,"Abohar Mandi SO,Abohar SO,Alamgarh BO,Bakainwala BO,Bhagoo BO,Burj Mohar BO,Danewala BO,Dharampura BO,Diwan Khera BO,Govt Seed Form BO,Haripura BO,Jandwala Mira Sangla BO,Jhurar Khera BO,Kandwala Amarkot BO,Khuiyan Server SO,Kikar Khera BO,Killianwali BO,Koil Khera BO,Krishna Nagari Abohar SO,Nai Abadi Abohar SO,New Grain Market Abohar SO,Panjkosi BO,Patrewala BO,Patti Sadiq BO,Rajanwali BO,Ramsara BO,Roop Nagar BO,Rukanpura BO,Sappanwali BO,Sayadwala BO,Wahabwala BO,Waryam Khera BO"
DRI0001,"Agol BO,Amloh SO,Bhadson SO,Bhari Panaich BO,Bharpurgarh BO,Fatehpur BO,Jasso Majra BO,Jindalpur BO,Kaulgarh BO,Khanaura BO,Khanian BO,Khumna BO,Machrai Kalan BO,Mallewal BO,Mangewal BO,Matrauda BO,Naraingarh BO,Noorpur BO,Raisal BO,Ramgarh BO,Sakrali BO,Samaspur BO,Tanda Badha BO,Tibbi BO"
