CODE,ENTIRE DISTRICT COVERAGE
MAR0002,"SOUTH GOA, NORTH GOA"
GOA0100,"SOUTH GOA, NORTH GOA"
KPR1003,KOLHAPUR
KPR0100,KOLHAPUR
KPR0200,KOLHAPUR
PUN1900,PUNE
PUN4700,PUNE
SHI0000,PUNE
PUN0000,PUNE
PUN4600,PUNE
PUN0700,PUNE
PUN1702,PUNE
PUN1800,PUNE
PUN1300,PUNE
PUN1400,PUNE
PUN1500,PUNE
PUN5200,PUNE
BAM0000,PUNE
PUN3000,PUNE
PUM5100,PUNE
PUN4900,PUNE
PUN0200,PUNE
RNA0000,"RATNAGIRI, SINDHUDURG"
RNA0200,"RATNAGIRI, SINDHUDURG"
SNG0300,SANGLI
KRD0001,SATARA
SAT0100,SATARA
SOP0600,SOLAPUR
SOP0000,SOLAPUR
