Code,"ENTIRE DISTRICT 
 COVERAGE"
FAI0500,FAIZABAD
AME0000,AMBEDKAR NAGAR
TAD0000,AMBEDKAR NAGAR
BAR0000,BARABANKI
BAR0100,BARABANKI
BAS0600,BASTI
FAT0100,FATEHPUR
GON0200,GONDA
KUR1700,"KANPUR, BANDA, CHITRAKOOT, MAHOBA, AMBEDKAR NAGAR,FATEHPUR, KANPUR DEHAT,UNNAO,JALAUN, KANNAUJ"
KUR1800,"KANPUR, KANPUR DEHAT"
DIB0002,"KANPUR DEHAT, KANPUR"
MAO0000,MAHOBA
KRW0100,CHITRAKOOT
BND0001,BANDA
LAK0300,KHERI
LUC0301,LUCKNOW
LUC1200,LUCKNOW
LUC1300,LUCKNOW
LUC3300,LUCKNOW
LUC6200,"LUCKNOW,BARABANKI, GONDA, KHERI,BAHRAICH,SULTANPUR,
 RAEBARELI,HARDOI"
SUL0000,SULTANPUR
PGH0001,PRATAPGARH
PGH0100,PRATAPGARH
JHA0100,JHANSI
LAL0000,LALITPUR
BHR0000,BAHRAICH
BLR0100,BALRAMPUR
