Code,Entire District Coverage
AAG0034,Agra
AAG2100,Agra
AAG2400,Agra
AAG2500,Agra
AAG0601,Agra
HAT0000,Hathras
SAD0101,Hathras
BRE0500,Bareilly
BRE0700,Bareilly
MAT0100,Mathura
BRE0900,Bareilly
FIR0200,Firozabad
MAP0100,Mainpuri
AAG2600,Etah
ETA0103,Etawah
DIB0000,Auraiya
SHA0000,Shahjahanpur
ALH0000,Aligarh
ALH0300,Aligarh
ALH0400,Aligarh
PEE0000,Pilibhit
SID0100,Bulandshahr
BUL0500,Bulandshahr
DAD0600,Gautam Buddha Nagar
BDN0000,Budaun
NOI0700,Gautam Buddha Nagar
GZD0000,Ghaziabad
MEE0100,Meerut
MUJ0100,Muzaffarnagar
MOD0000,Ghaziabad
HAP0000,Meerut
HAP0200,Meerut
SAH0004,Saharanpur
BIJ0000,Bijnor
