STATE,Seq No,"Distributor Code",PARTY NAME,PLACE,"Entire Coverage District","Partial Coverage District",Area Office Name,No of Coupons,Remarks
GUJARAT,GUJ01,AHD1401,KD TRADELINK,Ahmedabad,Ahmedabad,Gandhinagar,"Sughad BO,Limbadia BO,Nana Chiloda BO,Medra BO",,
GUJARAT,GUJ02,BAV0000,MATANGI TRADERS,Bavala,,Ahmedabad,"Bagodara BO,Bavla SO,Changodar SO,Dholka SO,Sanand SO,Viramgam SO",,
GUJARAT,GUJ03,CAH0000,SHREEJI READYMADE,Changodar,,Ahmedabad,"Bagodara BO,Bavla SO,Changodar SO,Dholka SO,Sanand SO,Viramgam SO",,
GUJARAT,GUJ04,DEG0100,DEV ENTERPRISES,Dehgam,Gandhinagar,,,,
GUJARAT,GUJ05,HIM0000,ZAM ZAM ENTERPRISE P LTD,Himatnagar,"SABAR KANTHA,Arvalli,
Mahesana",,,,
GUJARAT,GUJ06,PAR0000,BHAGWATI DISTRIBUTORS,Palanpur,"Banas Kantha,Patan",,,,
GUJARAT,GUJ07,DES0000,SHUBH AAPRALS,Deesa,"Banas Kantha,Patan",,,,
GUJARAT,GUJ08,PAT0300,SIKOTAR SELECTIONS,Patan,Patan,,,,
GUJARAT,GUJ09,SID0200,MODERN HOSIERY,Siddhapur,"Patan,Mahesana,
Banas Kantha",,,,
GUJARAT,GUJ10,NAD0000,SHAH TEXTILES,Kheda-Anand,"Kheda, Anand",,,,
GUJARAT,GUJ11,VDD1700,POONAM HOSIERY,Vadodara,Vadodara,,,,
GUJARAT,GUJ12,BRC0100,RAJ HOSIERY,Vadodara,Vadodara,,,,
GUJARAT,GUJ13,RAP0000,NAVKAR HOSIERY,Rajpipla,Narmada,Chhotaudepur,"Ghantoli BO,Sunderpura BO",,
GUJARAT,GUJ14,ANK0100,STANDARD HOSIERY,Ankleshwer,"Bharuch, Narmada",,,0,
GUJARAT,GUJ15,SUR0100,MAMTA HOSIERY,Surat,Surat,,,,
GUJARAT,GUJ16,SUR0300,SHREE MAHADEV HOSIERY,Surat,Surat,,,,
GUJARAT,GUJ17,SUR0400,SHREE SIDHIVINAYAK TRADERS,Surat,Surat,,,,
GUJARAT,GUJ18,BUH0000,RAJESHWAR HOSIERY,Buhari,"Tapi,Dabgs",Surat,"Abrama BO,Amba BO,Khanpur BO,Khanpur BO,Timba BO,Dungri BO,Karjan BO,Segva BO,Umra BO,Salaiya BO,Ghantoli BO,Haripura BO,Antroli BO,Antroli BO,Antroli BO,Navagam BO,Vadia BO,Bartad BO,Kharoli BO,Tarsadi BO,Bhamaiya BO,Shekhpur BO,Kani BO,Virpur BO,Virpur BO,Afva Isroli BO,Akoti BO,Allu BO,Amalsadi BO,Amalsadi BO,Ambheti BO,Amchak BO,Anaval SO,Areth BO,Asta BO,Bagumara BO,Balda BO,Baleshwar SO,Bamni BO,Barasadi BO,Bardoli HO,Bhagvanpura BO,Bhoria BO,Bilkhadi BO,Bodhan SO Surat,Chalthan SO,Chhitra BO,Chikhali Dungar BO,Dadhwada BO,Dastan BO,Dedvasan BO,Delad BO,Dhamdod Lumbha BO,Dhamkhadi BO,Dhatva BO,Dholikui BO,Dhoranpardi BO,Digas BO,Dungra BO,Ena BO,Fali BO,Fulwadi BO,Gamtalv Bujrang BO,Gangadhara RS SO,Gangadia BO,Gavachhi BO,Ghala SO,Godawadi BO,Goddha BO,Goddha BO,Godsamba SO,Goji BO,Gunesvel BO,Haladva BO,Haldharu BO,Italva BO,Jakhala BO,Jamankuva BO,Jokha BO,Jolwa BO,Kadhaiya BO,Kadod SO,Kadodara SO,Kakrapar SO,Kakrapargam BO,Kamlapore BO,Kamrej Char Rasta SO,Kamrej SO,Kanav BO,Kankaria BO,Kantifalia BO,Karachka BO,Karan BO,Karchelia SO,Karvali BO,Kasal BO,Kathodara BO,Kathor SO,Khanjroli BO,Kharvan BO,Kharvasa BO,Khodamba BO,Khojpardi BO,Kholeshwar BO,Kholvad SO,Kikwad BO,Kim Dungara BO,Kodada BO,Kolibharthana BO,Kos BO,Kosadi BO,Kosmadi BO,Kumkotar BO,Ladvi BO,Lakhanpor BO,Lakhgam BO,Lasanpor BO,Madhi SO,Mahuva SO Surat,Mahuvaria BO,Malekpor BO,Mandvi SR SO,Manekpor BO,Mankna BO,Masad BO,Miyapur BO,Mohni BO,Moritha BO,Morthana BO,Mota SO,Moticher BO,Motifalod BO,Munjlav BO,Nagod BO,Naldhara BO,Nandpore BO,Nansad BO,Naren BO,Navipardi BO,Netrang BO,Ninat BO,Niol BO,Nizar BO,Nogama BO,Nogama BO,Orgam BO,Orna SO,Palsana SO Surat,Palsod BO,Parab BO,Patal BO,Pathron BO,Puna BO,Puna BO,Puni SO,Ranat BO,Ratania BO,Rayam BO,Regama BO,Rosvad BO,Rupan BO,Samba BO,Samrod BO,Samthan BO,Sarbhon SO,Sardarbaug Bardoli SO,Sarkui BO,Sathvav BO,Sejvad BO,Sevni SO,Shampura BO,Singod BO,Soyani BO,Sugar Factory Bamania SO,Sugar Factory Bardoli SO,Surali BO,Syadla BO,Tadkeshwar SO,Tantithaiya BO,Taraj BO,Tarbhon BO,Tarsada BO,Timbarva Sankri BO,Tuked BO,Tundi BO,Umbhel SO,Umrakh BO,Unteva BO,Uva BO,Vadadla Tanti BO,Vadhvania BO,Vadoli BO,Vaghecha BO,Vaheval BO,Valvada SO,Vanisa Pisadi BO,Vankaner SR SO,Varad SO,Vareli BO,Vareth BO,Vatsalyadham BO,Vav Kathodara SO,Vegi BO,Velanja BO,Velanpur BO,Vihan BO,Zab BO,Zervavra SO,Butwada BO,Butwada BO,Hathoda BO,Vanskui BO,Vanskui BO,Vanskui BO,Timbarva BO,Ghadoi BO",,
