contact,Name,Id,points
9829671434,Agarwal Store 002,27507731,16837
7737400800,Jhawar general store Medta city,15841458,98407
9602530161,MONIKA READYMADE 001,29793483,5904
9782817676,Shree BALAJI GARMENT JOBNER 001,27507385,3870
9460286623,Lokanda garments 001,9143720,1694
9413204577,RADHELAL BHAGWANDAS,15782637,23956
8939375487,Vishnu Saree Centre,24027268,2310
9414040010,"SAGAR, VDN",27507017,101250
7742143151,Suresh Readymade Store,15779895,5834
9828596804,Riya collection,23934487,50
9828191934,Vinod General Store,29466843,126
9413521476,SHRI GANESH FANCY STORE,15658508,6574
9828940940,Manoj garments,15803791,84
8890520019,Geeta bangles bagru 001,15393813,1316
9950744086,Nagar garments,31056974,950
7062239313,Narendra readymade,15800338,1711
9571620176,H R cosmetic,15570952,4293
7240030202,Om garments,15811617,56
9610070485,RAJ GARMENT AND FANCY 001,15391485,5740
9982253866,Tavar collection 01,10560348,8387
9414345431,Vikas Readymade 002 ,18997697,37927
9664153232,ANKIT FANCY STORE,11686311,8891
9680891389,Ashok kumar Moolchand and Sons,27918668,6138
9829236802,Balaji fashion 01,27507389,308
9829206083,Bhanwar Chand Gayan Chand 002 ,27684147,32688
9784312408,Bhavna garments Hasteda,11626389,5848
9799082941,Bulbul garments Govindgarh,11628746,3063
9461059199,Dhurav Garments Gudha,9591355,1320
7877757526,GANPATI FASHION ZONE 001,30816147,1320
7742584423,Gaurav fancy store Kaladera,11628035,2585
9782105082,"GOYAL FANCY STORE, ROAD NO. 6",26558850,2520
9829276783,GOYAL GENERAL STORE,11686597,29129
9460642141,"HARI OM FASHION, MPS",27431518,170791
6367003923,KAMLESH FOOTWEAR,11685179,39569
9664392674,KARTIK GARMENT 001,25245431,1782
9414750809,Ludhiana Garmants,27508323,80
9828318286,MANBHAWAN vishali nagar,27506235,64774
7610091715,MANISH READY-MADE GARMENT 001,9442964,17034
8947832324,MANVI COLLECTION  FOOTWEAR 001,9142545,117270
9828644791,"MONIKA GARMENTS, ROAD NO. 17",27506847,47691
9875084691,Muskan collection,27567097,12222
9983882666,"NIDHI SALES, MPS",27507550,11454
7976818148,Parnami fancy store 02,9143418,42471
9414889427,"PAWAN FANCY & GENERAL STORE, MPS",11883820,87123
9829532343,POOJA GARMENT,9142194,7180
9660564876,PREM TRADERS 001,9771381,550
9414358488,Prince Fancy store 02,27507680,4508
8104147649,RAJ GARMENT,11611713,16085
9828826462,RDX textile Dhanota,11611617,4323
9784626567,Sagar collection 01,27072514,1078
7733930908,Shiv shakti Garments Dhanota,11609064,11330
9413546815,"SHRI BALAJI TEXTILE, ROAD NO. 17",27506848,2662
9799421431,SHRI GOVINDAM READYMADE 001,27506444,12660
9461127410,SHRI GOVINDAM TEXTILES 001,27506447,4412
6377562086,"SHRI KANHIYA COLLECTION, MPS",27431523,14092
9667549060,Shri Karni department 01,27506945,3198
9929266740,SHRI KRISHNA GARMENT,11664170,3123
8890593036,SHRI NARSINGH CLOTH STORE,11662607,10800
9929714770,SHRI NARSINGH GARMENT,11662006,46604
9829812614,Shri shyam Fancy Govindgarh,11628466,18870
7728028028,SHRI SHYAM GARMENT,11682000,102280
7014145556,Shubhlaxmi garments Chomu,11645785,24315
9929050232,Siyaram garments Dhanota,11609045,33777
